2026-07-07 17:12:59,605 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 17:12:59,606 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 17:13:06,160 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 17:13:06,348 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 17:13:06,714 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 17:13:06,714 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 17:14:23,050 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 17:14:23,050 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 17:14:29,372 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 17:14:29,490 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 17:14:29,828 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 17:14:29,828 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 19:11:44,217 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 19:11:44,217 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 19:11:50,412 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 19:11:50,596 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 19:11:50,965 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 19:11:50,965 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 19:12:02,212 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 19:12:02,212 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 19:12:08,208 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 19:12:08,337 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 19:12:08,705 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
